prompt_id,schema_count_match,field_coverage,type_accuracy,structure_score,semantic_score,overall_score,errors,generation_time_ms
school-001,False,0.7333333333333333,0.8181818181818182,0.4666666666666667,1.0,0.7412121212121212,,7217.062999999999
ecommerce-002,True,0.9230769230769231,1.0,0.8833333333333332,1.0,0.9477564102564102,,12063.762
healthcare-003,True,0.8666666666666667,1.0,0.8,0.8,0.87,,11753.958
employee-004,True,0.7692307692307693,1.0,0.7,1.0,0.8557692307692308,,8639.735
library-005,True,0.37037037037037035,0.7,0.5133333333333333,0.8,0.5744444444444444,,10030.518
fitness-006,True,0.9333333333333333,1.0,0.8666666666666666,1.0,0.9466666666666668,,12338.411
restaurant-007,True,0.34375,1.0,0.475,1.0,0.671875,,9341.837
project-008,True,0.3103448275862069,1.0,0.625,0.8,0.6593534482758621,,10824.908000000001
realestate-009,True,0.12903225806451613,0.5,0.39583333333333337,0.8,0.42266801075268823,,11853.622
inventory-010,True,0.23076923076923078,0.6666666666666666,0.35666666666666663,1.0,0.5250641025641025,,11445.054
events-011,True,0.7857142857142857,0.7272727272727273,0.6833333333333333,1.0,0.7883658008658008,,10929.383
research-012,True,0.36363636363636365,0.8333333333333334,0.5399999999999999,1.0,0.6524242424242424,,10522.031
logistics-013,True,0.1951219512195122,0.75,0.45999999999999996,0.8,0.5210365853658536,,11352.359
finance-015,True,0.8181818181818182,1.0,0.8166666666666667,0.0,0.6996212121212122,,8476.0
